ID,Data,Período,Estresse,Andar em 8,Pular_Pedra,Est_Total,Temp_estimado,Exploratório,Fisiológico,Locomotório,Comp_Alimentar,Autocuidado,Arranhar parede/vidro,Vigilante,Evitação/Esconder,Vocalização,Play,N_total,Temp,Frec,Correr,Andar_Exploratório,Tronco,Na_agua,Olfativo,Visual,Comer,Transportar_Alimento,Se esfregar parede/vidro,Lamber,Coçar,Bocejar,Deitar,Ofegar
1,09/11,Tarde,Alto,112,45,157,"28,78333333",16,5,56,4,9,0,1,11,1,0,103,"25,75","4,333333333",22,5,18,11,11,5,3,1,7,0,2,1,2,2
2,19/11,Tarde,Alto,125,58,183,"33,55",18,5,62,5,6,1,2,9,0,0,108,27,"4,85",24,0,27,11,11,7,4,1,5,1,0,0,1,4
3,20/11,Tarde,Alto,99,39,138,"25,3",15,4,58,3,3,3,1,10,0,0,97,"24,25","3,916666667",17,3,25,13,9,6,3,0,3,0,0,1,0,3
4,20/11,Manhã,Médio,88,12,100,"18,33333333",22,3,54,2,12,0,5,9,1,0,108,27,"3,466666667",12,13,15,14,10,12,2,0,4,1,7,2,1,0
5,23/11,Tarde,Médio,80,10,90,"16,5",26,1,85,1,7,1,11,9,0,0,141,"35,25","3,85",24,16,30,15,12,14,1,0,2,3,2,0,1,0
6,23/11,Manhã,Baixo,66,5,71,"13,01666667",33,0,85,3,16,0,9,5,1,1,153,"38,25","3,733333333",15,22,29,19,17,16,3,0,8,7,1,0,0,0
7,24/11,Tarde,Nulo,16,14,30,"5,5",28,10,57,10,8,0,7,7,3,3,133,"33,25","2,716666667",4,12,27,14,16,12,5,5,2,2,4,5,3,2
8,28/11,Tarde,Alto,101,38,139,"25,48333333",14,6,45,3,5,4,5,10,0,0,92,23,"3,85",23,0,12,10,8,6,2,1,5,0,0,1,0,5
9,29/11,Tarde,Baixo,33,42,75,"13,75",38,4,70,0,18,0,2,16,0,3,151,"37,75","3,766666667",8,13,40,9,22,16,0,0,7,5,6,1,3,0
10,30/11,Manhã,Médio,82,13,95,"17,41666667",21,3,73,1,1,1,12,10,0,0,122,"30,5","3,616666667",25,17,25,6,12,9,1,0,0,1,0,0,2,1
11,30/11,Tarde,Médio,76,41,117,"21,45",26,4,55,0,4,0,10,10,1,0,110,"27,5","3,783333333",10,5,35,5,17,9,0,0,0,1,3,1,0,3
12,2/12,Manhã,Alto,180,78,258,"47,3",22,6,51,12,7,0,1,4,0,0,103,"25,75","6,016666667",13,1,27,10,17,5,6,6,4,0,3,0,1,5
13,5/12,Manhã,Baixo,70,4,74,"13,56666667",26,8,76,3,8,0,3,15,0,0,139,"34,75","3,55",10,13,35,18,11,15,2,1,0,6,2,3,5,0
14,5/12,Tarde,Médio,86,11,97,"17,78333333",23,4,62,4,9,1,11,7,0,0,121,"30,25","3,633333333",15,12,15,20,8,15,3,1,9,0,0,1,1,2
15,6/12,Manhã,Baixo,39,21,60,11,34,4,54,2,11,0,5,7,1,1,119,"29,75","2,983333333",8,23,19,4,13,21,1,1,8,2,1,3,1,0
16,6/12,Tarde,Alto,89,38,127,"23,28333333",26,1,71,5,3,0,2,12,2,0,122,"30,5","4,15",16,0,44,11,18,8,2,3,0,0,3,1,0,0
17,7/12,Manhã,Baixo,45,28,73,"13,38333333",28,4,45,7,9,0,2,9,0,2,106,"26,5","2,983333333",5,10,17,13,15,13,5,2,0,8,1,2,2,0
18,8/12,Manhã,Nulo,30,1,31,"5,683333333",24,5,47,2,21,0,2,5,1,3,110,"27,5","2,35",2,13,20,12,13,11,2,0,9,8,4,3,2,0
19,10/12,Manhã,Baixo,47,22,69,"12,65",23,9,25,8,19,0,4,26,0,1,115,"28,75","3,066666667",0,1,22,2,14,9,4,4,0,6,13,4,5,0
20,13/12,Manhã,Baixo,49,28,77,"14,11666667",18,4,41,3,12,0,2,7,0,0,87,"21,75","2,733333333",10,6,21,4,16,2,1,2,7,3,2,2,2,0
21,08/11,Tarde ,médio ,45,56,101,"18,51666667",19,6,60,3,5,0,11,5,0,0,109,"27,25","3,5",19,8,28,5,10,9,1,2,3,0,2,0,0,6
22,10/11,Tarde,Nulo,15,12,27,"4,95",21,0,50,12,27,0,8,2,1,4,125,"31,25","2,533333333",0,3,34,13,5,16,6,6,27,0,0,0,0,0
23,18/11,Tarde ,Baixo,33,39,72,"13,2",23,1,52,2,1,0,9,10,0,1,99,"24,75","2,85",12,5,33,2,7,16,1,1,1,0,0,0,1,0
24,20/11,Manhã ,Alto,94,108,202,"37,03333333",13,6,40,6,16,0,3,3,0,0,87,"21,75","4,816666667",12,0,20,8,11,2,3,3,16,0,0,0,0,6
25,10/12,Tarde,Médio ,64,57,121,"22,18333333",14,5,67,0,12,0,11,13,0,0,122,"30,5","4,05",20,5,38,4,5,9,0,0,7,0,5,0,0,5
26,15/12,Manhã,Nulo,15,23,38,"6,966666667",35,6,56,2,15,0,3,7,0,2,126,"31,5","2,733333333",0,15,24,17,15,20,1,1,5,3,7,0,6,0
27,12/11,Manhã,Nulo,10,5,15,"2,75",33,5,51,7,13,0,2,5,1,5,122,"30,5","2,283333333",2,10,23,16,16,17,5,2,0,8,5,0,5,0
28,17/11,Manhã,Nulo,13,8,21,"3,85",30,8,59,7,3,0,3,4,0,1,115,"28,75","2,266666667",0,16,30,13,19,11,3,4,0,2,1,6,2,0
29,17/11,Tarde,Nulo,17,7,24,"4,4",28,8,57,10,8,0,7,7,3,3,131,"32,75","2,583333333",4,12,27,14,16,12,5,5,2,2,4,5,3,0
30,15/12,Tarde,Nulo,13,11,24,"4,4",26,2,54,4,5,0,5,2,1,0,99,"24,75","2,05",0,12,30,12,11,15,1,3,0,0,5,2,0,0
31,14/11,Manhã,Médio,79,26,105,"19,25",11,1,86,0,4,3,12,9,0,0,126,"31,5","3,85",25,18,31,12,1,10,0,0,1,1,2,0,1,0
32,15/11,Manhã,Alto,97,53,150,"27,5",14,3,63,0,3,5,5,5,2,0,100,25,"4,166666667",22,0,35,6,8,6,0,0,3,0,0,0,0,3